(0.950681,-0.198783)
(0.556679,-1.60948)
(-0.0339982,-0.267386)
(1.27344,-0.920964)
(-0.147244,-1.24573)
(0.735408,-0.0925217)
(0.783219,-1.53203)
(-0.16484,-0.447681)
(1.25222,-0.680169)
(0.00842337,-1.39629)
(0.50911,-0.0484525)
(0.978896,-1.39874)
(-0.241339,-0.654402)
(1.16671,-0.448828)
(0.210578,-1.49515)
(0.279571,-0.078391)
(1.12117,-1.206)
(-0.243746,-0.862921)
(1.02683,-0.252901)
(0.440467,-1.52537)
(0.0842781,-0.176363)
(1.20694,-0.987135)
(-0.17558,-1.0676)
(0.836813,-0.123819)
(0.653127,-1.48807)
(-0.0724575,-0.315694)
(1.22774,-0.754318)
(-0.0553272,-1.23579)
(0.62552,-0.0442444)
(0.856285,-1.38778)
(-0.174119,-0.493446)
(1.18824,-0.523548)
(0.120517,-1.36326)
(0.40598,-0.0373768)
(1.02356,-1.23267)
(-0.208914,-0.697693)
(1.08011,-0.32666)
(0.318422,-1.42792)
(0.20315,-0.0898922)
(1.14174,-1.04155)
(-0.184353,-0.902399)
(0.922233,-0.167305)
(0.531153,-1.43235)
(0.0247334,-0.20355)
(1.19242,-0.820534)
(-0.0980217,-1.07968)
(0.732246,-0.0556904)
(0.745271,-1.36747)
(-0.0964861,-0.366317)
(1.18249,-0.602954)
(0.0426815,-1.22879)
(0.518055,-0.0193104)
(0.914791,-1.24365)
(-0.165575,-0.5441)
(1.11199,-0.395647)
(0.218538,-1.31817)
(0.318215,-0.0344921)
(1.05524,-1.07958)
(-0.173786,-0.73614)
(0.99395,-0.218492)
(0.422411,-1.35918)
(0.134049,-0.116425)
(1.14105,-0.885463)
(-0.123927,-0.92728)
(0.821979,-0.0884304)
(0.623817,-1.32968)
(-0.0115001,-0.242814)
(1.16788,-0.673207)
(-0.0140718,-1.08802)
(0.63058,-0.0164511)
(0.811001,-1.24694)
(-0.110729,-0.409192)
(1.12915,-0.465066)
(0.137993,-1.20451)
(0.430894,-0.0031747)
(0.964822,-1.11017)
(-0.149872,-0.591111)
(1.03709,-0.279749)
(0.319172,-1.26724)
(0.247999,-0.0464354)
(1.07865,-0.942164)
(-0.133857,-0.778944)
(0.899655,-0.130388)
(0.51408,-1.28073)
(0.0805074,-0.146526)
(1.13307,-0.742436)
(-0.0585,-0.949218)
(0.723689,-0.0296189)
(0.702117,-1.22717)
(-0.0406434,-0.284384)
(1.13159,-0.534383)
(0.0726509,-1.0833)
(0.540157,0.0106766)
(0.870462,-1.12802)
(-0.110201,-0.457236)
(1.06717,-0.347626)
(0.227052,-1.17265)
